Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Band Cross Over,Forearm,,,Strength,Isolation,Barbell,Beginner,"Steps : 
_x000D_
1.) Stand with your feet shoulders width apart.
_x000D_
2.) Bending at the knees pick up barbell.
_x000D_
3.) With your palms facing downward lift the barbell to your chest while remaining up straight.
_x000D_
4.) Do not bend your upper arms but bend only at your elbows, with your forearms moving.
_x000D_
5.) Keep your wrist straight while raising and lowering the barbell. 
_x000D_
6.) Repeat for the desired amount of reps. 
_x000D_
7.) After the set bend at your knees to set the barbell down.","['444', '445']",https://www.jefit.com/exercises/1/Band-Cross-Over
Barbell Bench Press,Shoulders,,,Stretching,Isolation,Body,Beginner,Targeted Muscle Group,"['3468', '3469', '3470']",https://www.jefit.com/exercises/2/Barbell-Bench-Press
Barbell Bent Over Row,Shoulders,Traps,Triceps,Strength,Compound,Bands,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; stand on a band so that it is evenly distributed to be pulled by each arm.
_x000D_
2.) Grab the handles and press your arms up so that they are at shoulder level.
_x000D_
3.) Then using your shoulders, raise the hands above your sides so that they are above your head then lower the handles back down to the starting position.
_x000D_
4.) Repeat this exercise for as many repetitions as needed.","['1780', '1781']",https://www.jefit.com/exercises/3/Barbell-Bent-Over-Row
Barbell Close Grip Bench Press,Triceps,Lower Chest,"Shoulders , Chest",Strength,Compound,"Barbell , Bench",Beginner,"Steps :
_x000D_
1.) To begin this exercise; start off placing your back flat upon a bench and position yourself just as if you were to perform a close grip bench press. 
_x000D_
2.) The most important part is to make sure that the bar is above the upper part of your chest.
_x000D_
3.) The lower the bar down towards your chest just as if you were performing a lying triceps extension. 
_x000D_
4.) Then use your triceps to push the bar back up into position.
_x000D_
5.) Repeat this exercise for as many repetitions as needed.","['1840', '1841']",https://www.jefit.com/exercises/4/Barbell-Close-Grip-Bench-Press
Barbell Decline Bench Press,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Bands,Beginner,"The band squat exercise is the version of the squat that uses exercise bands to increase resistance and flexibility instead of using weights.
_x000D_
Steps : 
_x000D_
1.) Start off standing with your feet on the exercise bands with your feet shoulder width apart.
_x000D_
2.) Grab onto the handles of the bands and pull them up to your shoulders in a slow and controlled motion.
_x000D_
3.) With your abs drawn in, squat down until your thighs are parallel with the floor.
_x000D_
4.) Slowly return to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['860', '861']",https://www.jefit.com/exercises/5/Barbell-Decline-Bench-Press
Barbell Front Raise,Lower Legs,Calves,,Strength,Isolation,Bands,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off with taking an exercise and standing on it with equal amount of band on both sides.
_x000D_
2.) Taking the handles of the bands, elevate your arms towards the side of your head so that the bands tighten up.
_x000D_
3.) Then while leaving your hands by your head, stand on your toes and squeeze tightly on your calves.
_x000D_
4.) After holding on for a few seconds, release and go back to the starting position with your hands still by your head.
_x000D_
5.) Repeat this exercise for as many repetitions as needed.","['1576', '1577']",https://www.jefit.com/exercises/6/Barbell-Front-Raise
Barbell Good Morning,Lower Legs,,,Strength,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off setting up either a step or a block next to either a support structure or smith machine.
_x000D_
2.) Place the balls of your feet on the edge of the block/step and let your heels drop down towards the floor as far as possible.
_x000D_
3.) Then slowly raise your heels up as high as possible, squeezing your calves and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4908', '4909']",https://www.jefit.com/exercises/7/Barbell-Good-Morning
Barbell Incline Bench Press,Cardio,,,Cardio,Isolation,Body,Beginner,Pilates are an exercise that focus upon developing strength through the core of the body as well as increasing flexibility and coordination.,['1256'],https://www.jefit.com/exercises/8/Barbell-Incline-Bench-Press
Barbell Reverse Grip Bent Over Row,Chest,Inner Chest,"Biceps , Shoulders",Strength,Compound,Bands,Beginner,"This exercise uses unique and variable resistance to target your chest and biceps.
_x000D_
Steps :
_x000D_
1.) Take a resistance band and wrap it around a straight pole or the post of an exercise machine. Keeping the band at around chest level, face away from the post and hold the handles in each hand, spreading them out to your sides.
_x000D_
2.) Once you have wrapped the band around the pole, step back until you feel resistance, standing with your feet shoulder-width apart, and keep your knees bent and abs tight.
_x000D_
3.) To perform the exercise, slowly allow your hands to come in towards each other, keeping your arms extended out in front of you, until you feel a stretch in your chest.
_x000D_
4.) Hold this position for a few seconds then return back to the starting position with your hands extended out and handles spread out at your sides.

_x000D_
Tips : 
_x000D_
1.) By using a straight pole, it provides stability to perform the exercise and less likely to slip thus injuring yourself.
_x000D_
2.) You are able to vary the resistance by either stepping towards or away from where the band is wrapped around.","['4', '5']",https://www.jefit.com/exercises/9/Barbell-Reverse-Grip-Bent-Over-Row
Barbell Shoulder Press,Upper Legs,Hamstrings,"Shoulders , Lower Legs",Olympic Weight Lifting,Compound,Barbell,Expert,Targeted Muscle Group,"['1876', '1877', '1878', '1879']",https://www.jefit.com/exercises/10/Barbell-Shoulder-Press
